,dimX,dimY,label,price,cpu_cores
41,41.415657,-86.9412,AMD,1251.99,6.0
42,2.368884,-77.704285,Intel,1696.99,8.0
43,-116.72358,-51.475933,Intel,3151.99,16.0
44,-103.438416,-177.19514,AMD,2451.99,8.0
45,-63.092876,99.21578,Intel,1427.99,8.0
46,-55.45012,-2.2019682,,,
47,-23.716278,159.64517,Intel,1691.99,6.0
48,-18.169634,-3.7063212,AMD,1301.99,6.0
49,-59.08689,-136.44429,Intel,2165.99,8.0
50,112.93569,-156.27678,AMD,2278.99,8.0
51,-37.628265,-204.37656,AMD,1559.99,10.0
52,-76.11719,146.84181,Intel,1726.99,6.0
53,-55.45012,-2.2019682,Intel,1200.99,6.0
54,-188.02707,-1.9425212,Apple,2442.99,14.0
55,-26.932652,52.914967,Intel,1142.99,6.0
56,70.684944,-195.79558,Intel,969.99,8.0
57,-23.716278,159.64517,AMD,1382.99,8.0
58,-177.87262,-93.55102,Intel,1069.99,4.0
59,-37.628265,-204.37656,Intel,1648.99,8.0
60,216.1689,-19.825731,AMD,1915.99,8.0
61,-20.481606,-75.195366,AMD,2538.99,10.0
62,155.03633,69.44031,Apple,1706.99,6.0
63,-132.88757,94.4211,Intel,1865.99,6.0
64,27.023136,-55.92088,AMD,2317.99,16.0
65,-95.57279,53.085003,Apple,1768.99,10.0
66,-117.41813,-1.5005687,AMD,2805.99,16.0
67,-26.932652,52.914967,Intel,2034.99,6.0
68,71.75615,5.7602286,Apple,1862.99,12.0
69,-55.45012,-2.2019682,Intel,1559.99,6.0
70,-63.092876,99.21578,Intel,1634.99,6.0
71,-188.02707,-1.9425212,AMD,1911.99,8.0
72,-100.316574,118.85522,AMD,1319.99,16.0
73,162.37672,-10.714013,Intel,2150.99,8.0
74,115.89987,98.75971,AMD,2139.99,8.0
75,14.336592,-119.64362,AMD,1107.99,4.0
76,119.80596,-28.317152,Intel,1651.99,8.0
77,-100.316574,118.85522,AMD,1805.99,14.0
78,51.532875,-153.95615,Intel,2405.99,16.0
79,-132.88757,94.4211,Intel,1633.99,8.0
80,78.89363,92.89945,Intel,1673.99,12.0
81,-116.72358,-51.475933,AMD,1456.99,8.0
82,114.204666,-67.645,Intel,1527.99,8.0
83,-95.57279,53.085003,AMD,2208.99,6.0
84,38.79129,104.69,AMD,2447.99,14.0
85,69.95296,51.493423,AMD,1436.99,6.0
86,-148.64278,-128.52538,AMD,2217.99,12.0
87,69.95296,51.493423,Intel,1160.99,6.0
88,-59.19924,190.70488,,,
89,116.557526,149.48665,Intel,1691.99,12.0
90,114.204666,-67.645,AMD,1734.99,12.0
91,5.270315,2.6134632,AMD,1069.99,4.0
92,-70.27155,-35.476627,AMD,3014.99,12.0
93,-42.728493,-58.557636,Intel,1381.99,8.0
94,54.627926,-27.35285,AMD,2731.99,16.0
95,14.336592,-119.64362,Intel,2060.99,12.0
96,68.01985,-64.95911,Apple,2564.99,12.0
97,-95.57279,53.085003,Apple,1919.99,10.0
98,-37.628265,-204.37656,AMD,1833.99,8.0
99,156.89346,-48.604263,Intel,1418.99,10.0
100,156.89346,-48.604263,AMD,1762.99,8.0
101,2.6451929,-28.36841,AMD,1645.99,10.0
102,-59.19924,190.70488,Intel,1105.99,6.0
103,-23.716278,159.64517,AMD,1494.99,6.0
104,-29.570103,90.67899,AMD,1749.99,14.0
105,-26.932652,52.914967,AMD,1290.99,14.0
106,-26.932652,52.914967,Apple,2437.99,12.0
107,-55.45012,-2.2019682,Intel,1532.99,8.0
108,-117.41813,-1.5005687,AMD,1806.99,10.0
109,-102.927925,-220.19035,,,
110,-75.193504,-90.70078,Intel,2000.99,10.0
111,-52.147915,-232.29776,AMD,1936.99,8.0
112,69.95296,51.493423,Intel,2105.99,8.0
113,114.204666,-67.645,Intel,2160.99,8.0
114,-148.64278,-128.52538,AMD,1857.99,6.0
115,69.95296,51.493423,Apple,1270.99,6.0
116,170.83607,14.889193,AMD,1209.99,6.0
117,37.364716,67.32248,Intel,1758.99,6.0
118,155.03633,69.44031,Intel,2341.99,12.0
119,90.19474,-46.550915,AMD,2008.99,12.0
120,-117.41813,-1.5005687,,,
121,-117.41813,-1.5005687,Intel,1484.99,4.0
122,-163.92444,44.249107,Intel,1783.99,12.0
123,51.532875,-153.95615,Intel,2179.99,16.0
124,-132.88757,94.4211,Intel,2190.99,12.0
125,111.27596,29.251156,Intel,2359.99,16.0
126,190.00186,44.638344,,,
127,-167.56973,128.09465,Apple,2902.99,16.0
128,101.15625,-135.50339,Intel,1057.99,6.0
129,-42.728493,-58.557636,Intel,1535.99,6.0
130,49.36469,-9.633316,Intel,1023.99,4.0
131,-63.092876,99.21578,AMD,1817.99,8.0
132,-156.89055,-2.8828967,Intel,1403.99,6.0
133,-55.45012,-2.2019682,Intel,1933.99,12.0
134,14.336592,-119.64362,Intel,2148.99,16.0
135,94.06556,76.46825,Intel,1432.99,6.0
136,-167.56973,128.09465,AMD,1548.99,10.0
137,-132.88757,94.4211,Intel,1561.99,8.0
138,5.270315,2.6134632,Apple,2891.99,18.0
139,115.89987,98.75971,Intel,2197.99,8.0
140,-59.19924,190.70488,Apple,2112.99,6.0
141,51.532875,-153.95615,AMD,2166.99,8.0
142,-102.927925,-220.19035,Intel,1380.99,8.0
143,-188.02707,-1.9425212,Intel,2459.99,14.0
144,-95.57279,53.085003,AMD,1353.99,6.0
145,-188.02707,-1.9425212,Intel,1763.99,6.0
146,211.7444,73.75276,Apple,3268.99,12.0
147,-191.78355,86.60471,Intel,2827.99,16.0
148,-94.122734,-197.61584,AMD,1703.99,8.0
149,70.684944,-195.79558,,,
150,-62.19802,-73.38063,Intel,1617.99,8.0
151,73.460655,142.07138,Apple,1779.99,6.0
152,108.95303,-208.03511,Intel,1650.99,4.0
153,-188.02707,-1.9425212,AMD,1324.99,6.0
154,69.95296,51.493423,AMD,1411.99,4.0
155,116.557526,149.48665,AMD,2829.99,18.0
156,-59.19924,190.70488,AMD,1108.99,4.0
157,119.80596,-28.317152,Apple,1428.99,6.0
158,146.26274,-166.28937,Intel,1586.99,8.0
159,115.89987,98.75971,Apple,1578.99,6.0
160,88.48435,-161.14107,Intel,1881.99,14.0
161,38.79129,104.69,Apple,2228.99,12.0
162,-163.92444,44.249107,AMD,1474.99,4.0
163,-127.44723,140.5167,AMD,2315.99,12.0
164,216.1689,-19.825731,AMD,2821.99,16.0
165,79.20573,190.68204,Intel,1758.99,8.0
166,-26.932652,52.914967,AMD,1816.99,12.0
167,-148.64278,-128.52538,Apple,2617.99,16.0
168,14.336592,-119.64362,Intel,2526.99,16.0
169,45.09414,-222.55206,Apple,2077.99,12.0
170,70.684944,-195.79558,Intel,2056.99,12.0
171,-18.339767,117.34836,AMD,1227.99,4.0
172,-63.092876,99.21578,Intel,1378.99,6.0
173,104.33252,-178.95567,Intel,2207.99,16.0
174,54.627926,-27.35285,AMD,1939.99,14.0
175,-95.57279,53.085003,AMD,1625.99,8.0
176,-13.887449,-21.820114,,,
177,51.532875,-153.95615,Intel,975.99,4.0
178,-49.939594,231.69829,Intel,1938.99,8.0
179,138.78665,-105.65784,,,
180,-95.57279,53.085003,Apple,1906.99,10.0
181,-55.45012,-2.2019682,AMD,1902.99,8.0
182,198.91798,-143.71565,Intel,1571.99,10.0
183,80.59123,19.831106,Intel,1892.99,8.0
184,38.79129,104.69,Apple,1844.99,12.0
185,69.95296,51.493423,Intel,1859.99,10.0
186,14.336592,-119.64362,Intel,1474.99,6.0
187,-95.57279,53.085003,Apple,2245.99,12.0
188,79.20573,190.68204,AMD,1431.99,8.0
189,14.336592,-119.64362,AMD,2123.99,10.0
190,11.769568,25.896296,Intel,2630.99,12.0
191,-26.932652,52.914967,Intel,1325.99,6.0
192,-95.57279,53.085003,Intel,1555.99,8.0
193,-188.02707,-1.9425212,Apple,2439.99,18.0
194,-90.97176,-30.87466,Apple,2991.99,14.0
195,-75.193504,-90.70078,AMD,2461.99,12.0
196,89.25702,-24.827797,Intel,2296.99,12.0
197,-48.330566,-89.766556,Intel,1814.99,8.0
198,-106.98069,-85.230606,Intel,1871.99,6.0
199,87.404274,-84.75674,Intel,1641.99,14.0
200,72.77279,-39.536316,Intel,1259.99,8.0
201,88.48435,-161.14107,Intel,2016.99,16.0
202,114.204666,-67.645,AMD,2968.99,8.0
203,192.85696,9.836803,,,
204,-29.570103,90.67899,Intel,1390.99,6.0
205,-26.932652,52.914967,Intel,1203.99,4.0
206,114.204666,-67.645,AMD,1187.99,8.0
207,-64.100525,35.751812,AMD,1245.99,6.0
208,-95.57279,53.085003,Apple,3634.99,16.0
209,14.336592,-119.64362,Intel,1708.99,8.0
210,-164.81734,-70.71643,Intel,1764.99,6.0
211,-22.345722,-100.17096,Apple,2589.99,16.0
212,-105.62371,191.73529,Apple,2708.99,14.0
213,116.557526,149.48665,Apple,2238.99,12.0
214,216.55652,14.704756,Intel,2214.99,12.0
215,-121.27105,-107.66481,Intel,2230.99,16.0
216,-55.45012,-2.2019682,AMD,2129.99,10.0
217,-116.72358,-51.475933,AMD,1631.99,8.0
218,2.368884,-77.704285,AMD,1955.99,12.0
219,73.460655,142.07138,,,
220,135.43745,4.080253,Intel,1754.99,8.0
221,-14.525089,-166.43118,Intel,1728.99,6.0
222,-137.9361,-32.56852,AMD,1849.99,8.0
223,216.1689,-19.825731,,,
224,160.85072,110.45426,Apple,1823.99,8.0
225,-95.57279,53.085003,Intel,1628.99,8.0
226,-11.708985,-240.31006,Intel,1607.99,8.0
227,-22.345722,-100.17096,AMD,2375.99,16.0
228,-95.57279,53.085003,AMD,1967.99,18.0
229,124.38167,68.22721,Apple,2646.99,8.0
230,-94.122734,-197.61584,AMD,1903.99,8.0
231,-45.7748,-32.792492,AMD,1095.99,6.0
232,14.336592,-119.64362,Intel,1591.99,8.0
233,-55.45012,-2.2019682,AMD,2201.99,14.0
234,33.81923,210.94495,Intel,1574.99,12.0
235,-90.97176,-30.87466,Intel,1651.99,6.0
236,-59.08689,-136.44429,Apple,1660.99,8.0
237,216.1689,-19.825731,AMD,2392.99,16.0
238,-23.716278,159.64517,AMD,2538.99,18.0
239,-105.62371,191.73529,Intel,2043.99,6.0
240,38.79129,104.69,Apple,1759.99,8.0
241,70.684944,-195.79558,Intel,1919.99,8.0
242,-75.193504,-90.70078,AMD,1605.99,6.0
243,-137.9361,-32.56852,Intel,2759.99,16.0
244,155.03633,69.44031,Apple,1911.99,6.0
245,-233.11938,-26.603207,Apple,1483.99,4.0
246,-117.41813,-1.5005687,Intel,1774.99,8.0
247,101.15625,-135.50339,Intel,1765.99,8.0
248,-42.728493,-58.557636,Intel,2294.99,14.0
249,-133.00726,66.02934,Intel,1890.99,8.0
250,114.204666,-67.645,AMD,815.99,6.0
251,79.20573,190.68204,Intel,1902.99,16.0
252,-202.0311,-46.582745,AMD,1271.99,10.0
253,-95.57279,53.085003,Intel,1834.99,8.0
254,-0.0064946497,87.426346,Intel,1809.99,12.0
255,-76.11719,146.84181,Intel,2063.99,8.0
256,25.174978,159.72386,AMD,1548.99,6.0
257,-92.951225,-117.00025,Apple,1527.99,8.0
258,-26.932652,52.914967,AMD,3408.99,16.0
259,-63.092876,99.21578,AMD,1770.99,4.0
260,51.532875,-153.95615,AMD,1513.99,6.0
261,-163.92444,44.249107,Intel,2159.99,10.0
262,-26.932652,52.914967,AMD,2076.99,8.0
263,-132.88757,94.4211,Apple,1379.99,6.0
264,158.8881,32.259594,AMD,1805.99,12.0
265,185.93483,79.57472,Intel,2145.99,14.0
266,-188.02707,-1.9425212,AMD,1368.99,4.0
267,89.25702,-24.827797,Intel,1681.99,6.0
268,-231.91193,-0.13109145,AMD,1663.99,10.0
269,-18.339767,117.34836,Intel,1466.99,8.0
270,-127.44723,140.5167,Intel,2867.99,12.0
271,-26.932652,52.914967,Apple,1984.99,8.0
272,116.557526,149.48665,AMD,1673.99,8.0
273,-18.339767,117.34836,Intel,2114.99,8.0
274,-95.57279,53.085003,Intel,1760.99,8.0
275,-151.1001,-50.933132,AMD,1692.99,4.0
276,158.8881,32.259594,AMD,2146.99,8.0
277,-95.57279,53.085003,AMD,912.99,6.0
278,-100.316574,118.85522,Intel,2647.99,14.0
279,-37.628265,-204.37656,Intel,2104.99,20.0
280,228.73924,32.930912,AMD,1198.99,4.0
281,216.1689,-19.825731,Apple,3194.99,16.0
282,-59.08689,-136.44429,Apple,1317.99,4.0
283,-148.64278,-128.52538,Intel,1689.99,10.0
284,140.67247,-207.2223,Intel,1474.99,6.0
285,38.88242,-197.37422,AMD,2523.99,8.0
286,-130.47168,33.035503,Intel,2463.99,16.0
287,-59.19924,190.70488,Intel,2141.99,10.0
288,-95.57279,53.085003,Intel,1493.99,6.0
289,51.532875,-153.95615,AMD,1678.99,6.0
290,79.20573,190.68204,AMD,2043.99,14.0
291,-117.41813,-1.5005687,AMD,1733.99,6.0
292,-11.708985,-240.31006,,,
293,-163.92444,44.249107,Intel,2144.99,8.0
294,94.06556,76.46825,Intel,1419.99,6.0
295,-163.92444,44.249107,Intel,2324.99,18.0
296,160.85072,110.45426,Intel,2502.99,16.0
297,159.33344,150.33112,Intel,1243.99,6.0
298,89.25702,-24.827797,Intel,860.99,4.0
299,115.89987,98.75971,Apple,2490.99,16.0
300,54.627926,-27.35285,Intel,1460.99,8.0
301,190.00186,44.638344,AMD,1450.99,6.0
302,-106.98069,-85.230606,Intel,1582.99,8.0
303,41.415657,-86.9412,Intel,1421.99,6.0
304,-93.52119,-68.19108,AMD,1968.99,8.0
305,-188.02707,-1.9425212,Intel,2216.99,14.0
306,25.174978,159.72386,Intel,1696.99,6.0
307,-14.525089,-166.43118,Apple,1868.99,8.0
308,76.7795,-106.694885,AMD,1284.99,4.0
309,-59.08689,-136.44429,AMD,2359.99,14.0
310,-26.932652,52.914967,Intel,1788.99,4.0
311,13.8622055,23.205723,,,
312,-188.02707,-1.9425212,,,
313,87.404274,-84.75674,AMD,2719.99,18.0
314,156.89346,-48.604263,Intel,3347.99,18.0
315,51.532875,-153.95615,Apple,3253.99,16.0
316,-163.92444,44.249107,AMD,2350.99,16.0
317,19.084736,-35.557755,Intel,2055.99,10.0
318,-95.57279,53.085003,Intel,2500.99,16.0
319,6.2586923,42.649086,AMD,750.99,6.0
320,-18.339767,117.34836,Intel,1642.99,8.0
321,114.204666,-67.645,Apple,2441.99,10.0
322,38.79129,104.69,AMD,1735.99,4.0
323,68.01985,-64.95911,Intel,2569.99,12.0
324,-22.345722,-100.17096,Intel,1466.99,6.0
325,-132.88757,94.4211,Intel,1900.99,10.0
326,14.336592,-119.64362,Intel,1185.99,6.0
327,14.336592,-119.64362,Intel,1734.99,8.0
328,70.684944,-195.79558,AMD,2158.99,16.0
329,-55.45012,-2.2019682,AMD,1555.99,4.0
330,-26.932652,52.914967,,,
331,111.27596,29.251156,Apple,2810.99,16.0
332,51.532875,-153.95615,Intel,2089.99,14.0
333,-117.41813,-1.5005687,AMD,1517.99,8.0
334,-90.97176,-30.87466,Intel,1144.99,4.0
335,-55.45012,-2.2019682,Intel,1023.99,10.0
336,-116.72358,-51.475933,Intel,1476.99,6.0
337,38.79129,104.69,Intel,1166.99,10.0
338,2.368884,-77.704285,AMD,2129.99,10.0
339,-14.525089,-166.43118,AMD,1664.99,12.0
340,-155.80037,-23.064732,AMD,2399.99,12.0
341,-18.339767,117.34836,Intel,1590.99,10.0
342,138.78665,-105.65784,AMD,1159.99,8.0
343,-151.47789,12.102434,AMD,1256.99,6.0
344,-12.155946,210.0827,Intel,1936.99,8.0
345,-202.0311,-46.582745,AMD,1800.99,8.0
346,41.415657,-86.9412,AMD,1414.99,8.0
347,38.79129,104.69,AMD,1943.99,8.0
348,-14.525089,-166.43118,AMD,1284.99,8.0
349,51.532875,-153.95615,Intel,2702.99,12.0
350,-163.92444,44.249107,AMD,1708.99,8.0
351,-190.48018,-122.6472,Intel,1781.99,6.0
352,-37.628265,-204.37656,Intel,1531.99,8.0
353,-100.316574,118.85522,Intel,2227.99,8.0
354,5.270315,2.6134632,AMD,1752.99,6.0
355,116.557526,149.48665,AMD,1794.99,12.0
356,-93.52119,-68.19108,AMD,1894.99,8.0
357,-26.932652,52.914967,AMD,1151.99,6.0
358,164.88118,-139.8018,Intel,2007.99,6.0
359,-151.47789,12.102434,AMD,2026.99,10.0
360,69.95296,51.493423,AMD,1848.99,12.0
361,211.7444,73.75276,Apple,1286.99,8.0
362,-116.72358,-51.475933,Intel,2297.99,10.0
363,-37.628265,-204.37656,Intel,1497.99,4.0
364,59.444927,-3.770356,Intel,2201.99,8.0
365,-132.88757,94.4211,Intel,2423.99,12.0
366,73.460655,142.07138,Intel,1358.99,6.0
367,146.26274,-166.28937,Intel,1721.99,8.0
368,68.01985,-64.95911,Intel,1315.99,4.0
369,88.48435,-161.14107,Intel,814.99,4.0
370,-105.62371,191.73529,AMD,1466.99,6.0
371,-128.80588,-184.34386,AMD,1810.99,8.0
372,-117.41813,-1.5005687,Apple,2738.99,12.0
373,69.95296,51.493423,AMD,2378.99,16.0
374,-12.155946,210.0827,Apple,2091.99,10.0
375,216.1689,-19.825731,Intel,1497.99,8.0
376,-42.728493,-58.557636,AMD,1784.99,12.0
377,160.85072,110.45426,Apple,1888.99,8.0
378,-12.155946,210.0827,Intel,2568.99,12.0
379,33.81923,210.94495,Intel,2533.99,18.0
380,162.37672,-10.714013,AMD,1539.99,6.0
381,-163.92444,44.249107,Intel,1785.99,6.0
382,146.26274,-166.28937,Intel,2457.99,18.0
383,156.89346,-48.604263,AMD,1562.99,6.0
384,-0.0064946497,87.426346,Intel,2688.99,14.0
385,-164.81734,-70.71643,Apple,2540.99,16.0
386,2.368884,-77.704285,AMD,1490.99,10.0
387,114.204666,-67.645,Apple,2353.99,12.0
388,-22.345722,-100.17096,Intel,1378.99,8.0
389,-55.45012,-2.2019682,,,
390,54.627926,-27.35285,Intel,1127.99,4.0
391,-117.41813,-1.5005687,Intel,1038.99,6.0
392,-163.92444,44.249107,AMD,2407.99,12.0
393,-13.887449,-21.820114,,,
394,112.93569,-156.27678,,,
395,-42.728493,-58.557636,Intel,1937.99,10.0
396,119.80596,-28.317152,Intel,2700.99,16.0
397,31.892443,-39.044167,Intel,2254.99,8.0
398,-26.932652,52.914967,AMD,2751.99,18.0
399,2.6451929,-28.36841,Intel,1591.99,10.0
400,-76.11719,146.84181,Intel,2145.99,14.0
401,162.37672,-10.714013,,,
402,138.78665,-105.65784,Intel,1996.99,14.0
403,8.460431,130.15012,AMD,841.99,4.0
404,46.856403,27.105167,Apple,2691.99,16.0
405,78.89363,92.89945,Intel,2155.99,14.0
406,-106.98069,-85.230606,AMD,2111.99,10.0
407,162.37672,-10.714013,,,
408,38.88242,-197.37422,Apple,1763.99,8.0
409,14.336592,-119.64362,AMD,1386.99,8.0
410,41.415657,-86.9412,AMD,1991.99,12.0
411,-127.6202,172.79568,Intel,1630.99,8.0
412,69.95296,51.493423,AMD,1893.99,8.0
413,-156.89055,-2.8828967,Intel,1236.99,10.0
414,-191.78355,86.60471,Intel,1150.99,6.0
415,-191.32608,-156.89369,Intel,1221.99,4.0
416,156.89346,-48.604263,Apple,2583.99,12.0
417,68.01985,-64.95911,Apple,2176.99,14.0
418,-153.94255,169.48888,Intel,1493.99,8.0
419,197.2243,-57.802647,Intel,2061.99,12.0
420,27.023136,-55.92088,Apple,2024.99,14.0
421,79.20573,190.68204,AMD,1709.99,8.0
422,162.37672,-10.714013,Apple,2681.99,12.0
423,108.95303,-208.03511,Intel,1823.99,8.0
424,38.88242,-197.37422,Intel,2094.99,14.0
425,-59.19924,190.70488,Intel,2080.99,12.0
426,19.557577,54.79695,Intel,2253.99,12.0
427,115.89987,98.75971,AMD,1755.99,16.0
428,221.3303,104.306786,Intel,2499.99,14.0
429,-148.64278,-128.52538,AMD,970.99,6.0
430,-55.45012,-2.2019682,Intel,1771.99,14.0
431,-63.092876,99.21578,Intel,1279.99,8.0
432,-188.02707,-1.9425212,AMD,1817.99,8.0
433,-22.345722,-100.17096,Intel,1684.99,8.0
434,-95.57279,53.085003,AMD,1543.99,8.0
435,-59.31944,-107.46947,AMD,2410.99,12.0
436,73.460655,142.07138,Apple,2022.99,6.0
437,-231.91193,-0.13109145,AMD,1041.99,4.0
438,-14.525089,-166.43118,Apple,1227.99,4.0
439,-163.92444,44.249107,Intel,2466.99,14.0
440,38.79129,104.69,Intel,1964.99,10.0
441,-68.184,-201.67531,Intel,1005.99,6.0
442,114.204666,-67.645,Intel,2208.99,16.0
443,-59.08689,-136.44429,Apple,2200.99,12.0
444,-63.092876,99.21578,Intel,1804.99,14.0
445,-59.19924,190.70488,Intel,2595.99,14.0
446,111.27596,29.251156,Apple,2216.99,12.0
447,-55.45012,-2.2019682,Intel,1510.99,8.0
448,-95.57279,53.085003,Intel,1964.99,8.0
449,-23.716278,159.64517,AMD,1579.99,10.0
450,155.03633,69.44031,AMD,1875.99,16.0
451,-188.02707,-1.9425212,AMD,2362.99,20.0
452,-95.57279,53.085003,Intel,1311.99,4.0
453,162.37672,-10.714013,Intel,2048.99,8.0
454,-62.19802,-73.38063,AMD,2487.99,8.0
455,-231.91193,-0.13109145,Intel,1633.99,4.0
456,-26.932652,52.914967,Intel,918.99,8.0
457,-127.44723,140.5167,Intel,1958.99,6.0
458,-163.92444,44.249107,,,
459,-63.092876,99.21578,Intel,1443.99,8.0
460,-26.932652,52.914967,Intel,2638.99,14.0
461,-18.339767,117.34836,Apple,1732.99,4.0
462,38.79129,104.69,Intel,1606.99,6.0
463,-63.092876,99.21578,Intel,1249.99,4.0
464,69.95296,51.493423,Intel,2608.99,12.0
465,114.204666,-67.645,AMD,1156.99,6.0
466,114.204666,-67.645,Intel,1866.99,12.0
467,-148.64278,-128.52538,Intel,1242.99,6.0
468,38.79129,104.69,AMD,2068.99,8.0
469,77.103874,-142.8003,Intel,1159.99,8.0
470,-18.339767,117.34836,AMD,2232.99,12.0
471,93.74126,9.452663,AMD,1689.99,8.0
472,-63.092876,99.21578,AMD,1390.99,6.0
473,-10.875451,-23.404873,Intel,2140.99,10.0
474,70.684944,-195.79558,AMD,2622.99,16.0
475,-16.0226,-1.0613492,Intel,1594.99,4.0
476,164.88118,-139.8018,Intel,1452.99,6.0
477,-23.716278,159.64517,Intel,1638.99,14.0
478,111.27596,29.251156,Apple,1917.99,6.0
479,104.33252,-178.95567,,,
480,-59.08689,-136.44429,Apple,2034.99,4.0
481,-63.092876,99.21578,AMD,1874.99,8.0
482,-177.87262,-93.55102,AMD,1072.99,6.0
483,-121.27105,-107.66481,AMD,1461.99,4.0
484,-148.64278,-128.52538,Intel,1677.99,8.0
485,-26.932652,52.914967,AMD,1615.99,8.0
486,-26.932652,52.914967,Intel,2098.99,10.0
487,115.89987,98.75971,AMD,2614.99,12.0
488,-95.57279,53.085003,AMD,1852.99,8.0
489,69.95296,51.493423,AMD,2283.99,12.0
490,-37.628265,-204.37656,AMD,2598.99,12.0
491,-26.932652,52.914967,Intel,1812.99,12.0
492,14.336592,-119.64362,AMD,1157.99,4.0
493,70.684944,-195.79558,AMD,2349.99,12.0
494,25.174978,159.72386,Apple,2120.99,12.0
495,99.752235,126.32364,Intel,1764.99,10.0
496,164.88118,-139.8018,Intel,1747.99,12.0
497,-127.44723,140.5167,,,
498,193.96658,124.20094,Intel,2187.99,8.0
499,-37.628265,-204.37656,Apple,2625.99,12.0
500,-37.628265,-204.37656,AMD,1746.99,8.0
501,-164.81734,-70.71643,Intel,1097.99,6.0
502,51.532875,-153.95615,AMD,1668.99,12.0
503,60.10746,-44.772198,AMD,1992.99,10.0
504,-163.92444,44.249107,Intel,2451.99,12.0
505,14.336592,-119.64362,Apple,1593.99,12.0
506,33.81923,210.94495,,,
507,-42.728493,-58.557636,Intel,1198.99,6.0
508,190.00186,44.638344,Intel,2422.99,8.0
509,-12.155946,210.0827,Apple,1751.99,6.0
510,73.460655,142.07138,Apple,2622.99,8.0
511,156.89346,-48.604263,Intel,1625.99,4.0
512,-63.092876,99.21578,Intel,1778.99,8.0
513,-188.02707,-1.9425212,AMD,2024.99,8.0
514,112.93614,-1.732335,AMD,2567.99,16.0
515,114.204666,-67.645,AMD,1560.99,6.0
516,25.174978,159.72386,Intel,2122.99,12.0
517,-163.92444,44.249107,AMD,1640.99,6.0
518,25.174978,159.72386,Intel,1803.99,8.0
519,79.20573,190.68204,AMD,1592.99,8.0
520,-18.169634,-3.7063212,AMD,1930.99,8.0
521,38.79129,104.69,Intel,2222.99,12.0
522,-55.45012,-2.2019682,Intel,2177.99,16.0
523,-161.95729,82.207954,Intel,2087.99,12.0
524,79.20573,190.68204,AMD,1427.99,6.0
525,-64.100525,35.751812,Intel,2591.99,18.0
526,-26.932652,52.914967,Intel,2518.99,6.0
527,-163.92444,44.249107,,,
528,-121.27105,-107.66481,AMD,1322.99,6.0
529,33.81923,210.94495,Apple,2364.99,8.0
530,-117.41813,-1.5005687,AMD,2014.99,8.0
531,116.557526,149.48665,AMD,1954.99,10.0
532,114.204666,-67.645,Intel,878.99,4.0
533,-148.64278,-128.52538,Intel,1576.99,8.0
534,-138.61241,-79.92062,Intel,2263.99,14.0
535,-17.99132,-43.921856,Intel,2767.99,8.0
536,-59.08689,-136.44429,Intel,2487.99,16.0
537,25.174978,159.72386,Intel,2205.99,10.0
538,-63.092876,99.21578,AMD,2097.99,14.0
539,-163.92444,44.249107,AMD,1911.99,14.0
540,160.85072,110.45426,AMD,1330.99,8.0
541,-14.525089,-166.43118,AMD,963.99,4.0
542,-116.72358,-51.475933,Intel,1990.99,12.0
543,79.20573,190.68204,AMD,1792.99,12.0
544,170.6518,-80.06027,Intel,2137.99,12.0
